Date,Open,High,Low,Close,Volume
7-Mar-12,8.23,8.62,8.23,8.61,1091626
6-Mar-12,8.16,8.25,8.00,8.19,1368783
5-Mar-12,8.47,8.63,8.16,8.28,1661764
2-Mar-12,8.67,8.81,8.45,8.52,1246473
1-Mar-12,8.63,8.70,8.45,8.65,1713171
29-Feb-12,8.85,9.08,8.49,8.60,4363413
28-Feb-12,8.79,9.30,8.67,8.86,2969870
27-Feb-12,8.58,8.73,8.36,8.65,1062571
24-Feb-12,8.53,8.90,8.53,8.67,2043214
23-Feb-12,8.61,8.63,8.28,8.49,2188381
22-Feb-12,8.98,8.98,8.61,8.65,1452806
21-Feb-12,8.97,9.03,8.72,9.00,1558236
17-Feb-12,8.91,9.09,8.83,8.88,1356148
16-Feb-12,8.79,8.99,8.57,8.92,1840850
15-Feb-12,9.14,9.14,8.46,8.70,4011186
14-Feb-12,9.33,9.33,8.99,9.02,1374065
13-Feb-12,9.20,9.28,9.05,9.15,2751604
10-Feb-12,9.00,9.19,8.85,9.00,2689907
9-Feb-12,9.30,9.60,9.00,9.00,3071495
8-Feb-12,9.68,9.87,9.00,9.19,12286992
7-Feb-12,9.41,10.05,9.12,9.41,6843534
6-Feb-12,9.25,9.25,8.90,9.04,2478140
3-Feb-12,8.35,9.54,8.18,9.35,5420018
2-Feb-12,8.06,8.25,7.91,8.20,1987354
1-Feb-12,8.20,8.27,7.80,8.04,3584369
31-Jan-12,8.61,8.67,8.22,8.43,1032264
30-Jan-12,8.59,8.81,8.38,8.51,1066040
27-Jan-12,8.73,8.80,8.41,8.78,1060097
26-Jan-12,8.54,8.85,8.45,8.73,2502972
25-Jan-12,8.00,8.55,7.92,8.40,2614178
24-Jan-12,7.43,8.19,7.33,8.16,2808249
23-Jan-12,7.57,7.71,7.41,7.56,778148
20-Jan-12,7.57,7.70,7.50,7.63,1026940
19-Jan-12,7.69,7.80,7.41,7.54,1147256
18-Jan-12,7.79,7.85,7.59,7.69,1930911
17-Jan-12,7.95,8.18,7.75,7.75,1369002
13-Jan-12,7.85,7.85,7.85,7.85,0
12-Jan-12,7.72,8.25,7.68,8.13,2521304
11-Jan-12,7.64,7.85,7.58,7.67,1828110
10-Jan-12,8.06,8.21,7.29,7.62,6400424
9-Jan-12,8.17,8.18,7.92,8.10,3340849
6-Jan-12,7.93,8.10,7.64,7.68,1252962
5-Jan-12,7.20,7.80,7.16,7.63,1988612
4-Jan-12,6.84,7.17,6.64,7.10,1646199
3-Jan-12,6.77,7.00,6.72,6.85,1752160
30-Dec-11,6.61,6.61,6.61,6.61,0
29-Dec-11,6.55,6.61,6.45,6.50,717554
28-Dec-11,6.54,6.54,6.54,6.54,0
27-Dec-11,6.99,7.00,6.63,6.75,638990
23-Dec-11,6.82,6.82,6.82,6.82,0
22-Dec-11,6.98,6.98,6.98,6.98,0
21-Dec-11,6.94,7.00,6.33,6.85,914270
20-Dec-11,6.87,7.12,6.85,6.95,923710
19-Dec-11,7.51,7.51,6.26,6.75,2335529
16-Dec-11,7.62,7.62,7.41,7.51,992211
15-Dec-11,7.47,7.59,7.32,7.56,733297
14-Dec-11,7.61,7.70,7.31,7.45,869714
13-Dec-11,7.46,7.99,7.39,7.62,1656190
12-Dec-11,7.46,7.46,7.46,7.46,0
9-Dec-11,7.57,7.69,7.50,7.58,1026966
8-Dec-11,7.67,7.67,7.51,7.59,941080
7-Dec-11,7.47,7.79,7.43,7.73,951405
6-Dec-11,7.73,7.73,7.45,7.57,819789
5-Dec-11,7.68,7.77,7.45,7.74,1074537
2-Dec-11,7.70,7.71,7.22,7.42,1296324
1-Dec-11,7.23,7.80,7.10,7.50,3516126
30-Nov-11,7.07,7.14,6.50,6.99,1740032
29-Nov-11,6.08,6.88,6.01,6.80,1517055
28-Nov-11,5.94,6.10,5.82,5.97,994706
25-Nov-11,5.88,6.08,5.56,5.67,402376
23-Nov-11,5.81,5.81,5.81,5.81,0
22-Nov-11,6.07,6.07,6.07,6.07,0
21-Nov-11,6.27,6.49,5.98,6.23,1395419
18-Nov-11,7.05,7.20,6.43,6.49,2035526
17-Nov-11,7.72,7.75,6.94,6.99,2064371
16-Nov-11,7.53,7.95,7.43,7.76,1547193
15-Nov-11,7.78,7.84,7.40,7.55,1270400
14-Nov-11,7.95,8.10,7.62,7.84,1347112
11-Nov-11,7.80,8.00,7.60,7.99,1324740
10-Nov-11,8.36,8.38,7.61,7.66,1764521
9-Nov-11,8.24,8.29,7.71,7.72,2075219
8-Nov-11,8.58,8.63,8.20,8.54,1457247
7-Nov-11,8.50,8.75,8.46,8.59,1744109
4-Nov-11,7.95,8.52,7.90,8.48,3664494
3-Nov-11,7.51,7.96,7.20,7.87,2066035
2-Nov-11,7.20,7.25,6.98,7.17,976355
1-Nov-11,6.87,7.25,6.70,7.04,1431940
31-Oct-11,7.35,7.44,6.92,7.05,1319271
28-Oct-11,7.46,7.60,7.35,7.48,922079
27-Oct-11,7.77,7.88,7.03,7.48,2348289
