Date,Open,High,Low,Close,Volume
3-Dec-12,18.61,20.50,18.56,20.36,8518787
30-Nov-12,18.59,19.99,18.58,19.57,7451654
29-Nov-12,18.87,19.80,18.70,18.91,9808805
28-Nov-12,21.35,22.20,19.33,19.47,12677253
27-Nov-12,19.56,20.73,19.22,20.56,10480501
26-Nov-12,20.91,21.17,19.77,19.78,7483765
23-Nov-12,21.04,21.41,20.18,20.20,3820288
21-Nov-12,21.61,22.45,20.92,22.05,5145979
20-Nov-12,22.05,22.78,21.67,21.75,1365298
19-Nov-12,25.45,25.45,22.62,22.64,2059382
16-Nov-12,29.28,31.47,27.23,27.37,1671972
15-Nov-12,29.38,31.92,28.40,30.05,1925244
14-Nov-12,26.24,30.38,25.97,29.40,1641067
13-Nov-12,28.83,29.20,26.27,27.66,1418406
12-Nov-12,30.86,30.91,27.41,27.60,1075281
9-Nov-12,32.38,32.44,29.72,31.70,1233842
8-Nov-12,31.08,32.06,29.70,31.73,1375998
7-Nov-12,28.40,32.07,28.03,31.34,1930603
6-Nov-12,28.70,29.31,26.43,27.00,978900
5-Nov-12,28.89,30.66,28.57,29.16,1022039
2-Nov-12,26.26,28.43,25.98,28.18,1241177
1-Nov-12,31.50,31.62,26.90,26.90,918687
31-Oct-12,29.85,32.80,29.65,32.07,709214
26-Oct-12,31.10,32.67,30.10,30.98,933479
25-Oct-12,30.61,32.78,30.36,31.10,1250937
24-Oct-12,31.56,33.40,31.40,32.91,1370404
23-Oct-12,31.40,33.40,31.02,32.70,1454689
22-Oct-12,28.79,30.51,28.16,28.24,1348460
19-Oct-12,26.12,29.50,26.07,28.95,1664411
18-Oct-12,26.10,26.43,25.04,25.68,1370205
17-Oct-12,26.40,26.99,25.50,25.83,851066
16-Oct-12,26.80,27.26,26.23,26.50,1012257
15-Oct-12,29.38,30.58,27.60,27.79,1053961
12-Oct-12,28.40,30.25,27.86,29.94,1195113
11-Oct-12,29.30,29.76,28.53,29.38,1023321
10-Oct-12,30.35,31.60,29.79,30.22,1170142
9-Oct-12,28.53,31.16,28.27,30.82,1423367
8-Oct-12,28.50,29.01,27.91,28.46,810839
5-Oct-12,26.85,28.53,26.20,27.78,1466751
4-Oct-12,29.55,29.96,28.60,28.64,961634
3-Oct-12,30.35,31.79,29.31,30.01,1193341
2-Oct-12,30.72,32.45,30.09,30.22,1165893
1-Oct-12,29.40,31.96,27.87,31.49,1204865
28-Sep-12,30.55,31.47,29.10,30.94,1248854
27-Sep-12,33.21,34.25,29.03,29.09,1424449
26-Sep-12,34.05,36.86,33.22,35.37,2313276
25-Sep-12,27.86,33.00,27.86,32.90,1706168
24-Sep-12,29.94,30.27,28.02,28.46,1231352
21-Sep-12,29.76,30.31,28.50,29.34,939011
20-Sep-12,30.88,31.88,29.71,29.75,1626920
19-Sep-12,29.39,30.70,29.20,30.36,1302691
18-Sep-12,32.63,33.21,30.26,30.54,1411691
17-Sep-12,33.95,33.95,32.11,32.17,1044634
