Symbol,Quantity,OpenDate,Open Price,Open Net Amount,Close Order,Close Date,Close Price,Close Net Amount,Gain/Loss,Gain Term
TQQQ,"1,000",06/17/2022,22.12,"22,120.00",S,06/17/2022,22.11,"22,109.46",-10.54,Short
TQQQ,"1,000",06/17/2022,22.64,"22,638.50",S,06/17/2022,22.49,"22,485.65",-152.85,Short
TQQQ,"1,000",06/17/2022,22.48,"22,480.00",S,06/17/2022,22.36,"22,354.35",-125.65,Short
TQQQ,"1,000",06/17/2022,21.89,"21,889.10",S,06/17/2022,21.98,"21,979.36",90.26,Short
TQQQ,"1,000",06/17/2022,22.05,"22,045.00",S,06/17/2022,22.16,"22,159.76",114.76,Short
TQQQ,"1,000",06/17/2022,22.17,"22,170.00",S,06/17/2022,22.27,"22,270.25",100.29,Short
TQQQ,"1,000",06/17/2022,22.41,"22,405.00",S,06/17/2022,22.49,"22,490.25",85.25,Short
TQQQ,"1,000",06/17/2022,22.82,"22,815.00",S,06/17/2022,22.70,"22,704.35",-110.65,Short
TQQQ,900,06/17/2022,23.07,"20,767.50",S,06/17/2022,22.85,"20,565.22",-202.30,Short
TQQQ,100,06/17/2022,23.08,"2,307.85",S,06/17/2022,22.85,"2,285.02",-22.83,Short
TQQQ,"1,000",06/16/2022,21.65,"21,653.70",S,06/16/2022,21.58,"21,579.47",-74.23,Short
TQQQ,"1,000",06/16/2022,21.67,"21,669.50",S,06/16/2022,21.53,"21,525.67",-143.83,Short
TQQQ,"1,000",06/16/2022,21.42,"21,419.10",S,06/16/2022,21.49,"21,489.47",70.37,Short
TQQQ,"1,000",06/16/2022,21.59,"21,594.60",S,06/16/2022,21.61,"21,609.37",14.77,Short
TQQQ,"1,000",06/16/2022,21.59,"21,589.30",S,06/16/2022,21.68,"21,679.47",90.17,Short
TQQQ,"1,000",06/16/2022,21.40,"21,403.70",S,06/16/2022,21.39,"21,390.08",-13.62,Short
TQQQ,"1,000",06/16/2022,21.34,"21,345.00",S,06/16/2022,21.46,"21,460.27",115.27,Short
TQQQ,"1,000",06/16/2022,22.31,"22,309.40",S,06/16/2022,22.16,"22,154.36",-155.04,Short
TQQQ,"1,000",06/16/2022,21.90,"21,899.30",S,06/16/2022,21.77,"21,770.07",-129.23,Short
TQQQ,990,06/16/2022,21.95,"21,725.55",S,06/16/2022,21.84,"21,621.16",-104.38,Short
TQQQ,10,06/16/2022,21.95,219.50,S,06/16/2022,21.84,218.40,-1.10,Short
TQQQ,400,06/16/2022,21.86,"8,746.00",S,06/16/2022,21.72,"8,687.75",-58.25,Short
TQQQ,600,06/16/2022,21.87,"13,121.10",S,06/16/2022,21.72,"13,031.62",-89.48,Short
TQQQ,"1,000",06/16/2022,21.62,"21,618.50",S,06/16/2022,21.70,"21,700.27",81.77,Short
TQQQ,"1,000",06/16/2022,22.26,"22,263.70",S,06/16/2022,22.05,"22,049.36",-214.34,Short
TQQQ,"1,000",06/16/2022,22.18,"22,175.00",S,06/16/2022,22.05,"22,049.46",-125.54,Short
TQQQ,"1,000",06/17/2022,22.64,"22,645.00",S,06/17/2022,22.52,"22,519.35",-125.65,Short
TQQQ,"1,000",06/17/2022,22.46,"22,459.90",S,06/17/2022,22.54,"22,534.35",74.45,Short
TQQQ,"1,000",06/17/2022,22.58,"22,580.00",S,06/17/2022,22.57,"22,569.35",-10.65,Short
TQQQ,700,06/17/2022,22.89,"16,019.50",S,06/17/2022,22.95,"16,068.04",48.54,Short
TQQQ,300,06/17/2022,22.89,"6,866.97",S,06/17/2022,22.95,"6,886.30",19.33,Short
TQQQ,"1,000",06/17/2022,22.57,"22,569.10",S,06/17/2022,22.44,"22,440.05",-129.05,Short
TQQQ,"1,000",06/17/2022,22.11,"22,110.00",S,06/17/2022,22.20,"22,204.36",94.36,Short
TQQQ,"1,000",06/17/2022,23.11,"23,108.50",S,06/17/2022,23.06,"23,060.24",-48.26,Short
TQQQ,"1,000",06/17/2022,22.74,"22,739.10",S,06/17/2022,22.71,"22,710.24",-28.86,Short
TQQQ,"1,000",06/17/2022,21.73,"21,725.00",S,06/17/2022,21.81,"21,809.47",84.47,Short
SQQQ,400,06/10/2022,55.83,"22,331.72",S,06/10/2022,56.28,"22,510.51",178.79,Short
SQQQ,400,06/10/2022,54.42,"21,768.00",S,06/10/2022,55.57,"22,227.76",459.76,Short
SQQQ,400,06/10/2022,54.28,"21,711.96",S,06/10/2022,55.57,"22,227.76",515.80,Short
SQQQ,500,06/14/2022,64.07,"32,034.60",S,06/14/2022,64.21,"32,104.19",69.59,Short
SQQQ,500,06/14/2022,63.73,"31,862.50",S,06/14/2022,63.44,"31,719.25",-143.25,Short
SQQQ,500,06/14/2022,63.54,"31,769.95",S,06/14/2022,63.83,"31,911.69",141.75,Short
SQQQ,500,06/14/2022,64.14,"32,069.95",S,06/14/2022,64.39,"32,194.19",124.24,Short
